x,y
-158.42487,55.99092
-159.25482,54.87674
-162.29081,54.76115
-164.99245,54.57552
-161.79406,55.89131
-159.87004,56.51217
-157.58994,57.49617
-156.89270,58.97860
-161.76315,58.55007
-162.21016,60.03709
-166.10252,59.72369
-167.39984,60.16578
-165.01920,60.77224
-166.10266,61.81238
-160.78061,64.71508
-165.35356,64.45792
-168.12783,65.64973
-164.44410,66.61652
-163.10665,66.11251
-160.99865,66.18899
-166.83842,68.34133
-162.03670,70.27351
-156.48034,71.39066
-140.99224,69.64476
-141.00000,60.32135
-139.06898,60.35199
-137.52086,58.91674
-135.48305,59.80002
-133.37309,58.42700
-131.84739,56.66231
-130.09859,55.98460
-130.48645,54.83054
-132.81360,54.64523
-134.49877,56.09666
-135.91646,57.42343
-136.64540,58.20664
-138.47098,59.08382
-140.79812,59.75065
-147.17772,60.14581
-151.98172,59.25794
-151.81864,58.19998
-153.99867,56.51955
-154.64065,57.19227
-156.13858,57.34413
-158.42487,55.99092
