x,y
-80.57888,24.94723
-82.20336,26.53220
-84.11295,30.07011
-85.29507,29.66532
-85.81036,30.21166
-88.47166,30.17498
-88.87176,29.76010
-88.99545,29.17363
-89.41140,28.92028
-90.87228,29.08422
-92.13928,29.59155
-94.72177,29.41216
-97.40126,27.34286
-97.42265,25.83623
-98.95318,26.36937
-99.66851,27.65474
-101.40054,29.76785
-103.38445,29.02264
-106.40724,31.74680
-111.06542,31.31597
-114.14501,32.31530
-115.56356,32.70383
-117.12364,32.53463
-120.52243,34.53117
-121.16502,35.62260
-123.72345,38.91682
-124.35373,40.34056
-124.43860,42.41456
-124.30523,43.44430
-123.99000,46.21234
-124.72770,48.38124
-123.18979,48.12435
-122.75615,49.00119
-94.96544,49.36321
-89.50584,47.99366
-87.89424,47.50353
-86.97278,47.28192
-84.10890,46.51847
-83.45672,45.94953
-85.99071,45.92423
-87.66494,45.37376
-87.82505,42.27908
-87.30014,41.54710
-86.24532,42.25997
-86.12408,44.85139
-84.72953,45.78664
-83.02024,45.19418
-83.92957,43.70562
-83.71133,43.56522
-82.74138,43.97671
-82.37765,43.00034
-83.48096,41.74642
-82.48935,41.38055
-78.77671,42.74266
-78.94645,43.28344
-76.21847,43.56522
-76.25484,44.11614
-74.78779,45.04875
-71.56271,45.10868
-69.08934,47.42157
-67.76778,47.07590
-66.95827,44.80847
-70.26435,43.71623
-71.05545,42.30614
-70.07779,42.04882
-69.93449,41.77436
-69.93205,41.68010
-70.01541,41.54634
-73.96333,40.35673
-74.15126,39.63691
-74.75142,39.03676
-75.05086,38.43798
-75.94918,37.11689
-75.51525,35.80963
-75.42432,35.50424
-75.51222,35.25959
-76.51720,34.71965
-80.56051,32.32555
-81.44559,30.45235
-80.54232,28.45187
-80.04522,26.39110
-80.57888,24.94723
